pl_name (Exoplanet),hostname (Host star),pl_orbsmax (d),pl_rade (Dp),st_rad (Ds),Diameter of planet in terms of Earth's diameter,Diameter of star in terms of Sun's diameter,Ds/Dp,d/Ds
Kepler-1487 b,Kepler-1487,0.0898,5.05,3.96,5.05,3.96,85.57137934,2.437068312
Kepler-1488 b,Kepler-1488,0.2278,1.59,1.14,1.59,1.14,78.24065035,21.47511116
Kepler-1488 c,Kepler-1488,,1.652,1.52,1.652,1.52,100.4056772,0
Kepler-1493 b,Kepler-1493,0.1066,0.84,0.8,0.84,0.8,103.9286834,14.32035453
Kepler-150 b,Kepler-150,,1.161,0.88,1.161,0.88,82.71326743,0
Kepler-1500 b,Kepler-1500,0.1124,1.08,0.92,1.08,0.92,92.9584335,13.13000937
Kepler-1501 b,Kepler-1501,,1.148,1.13,1.148,1.13,107.4140966,0
Kepler-1505 b,Kepler-1505,0.1908,1.13,1.06,1.13,1.06,102.3651546,19.34456897
Kepler-1506 b,Kepler-1506,,1.32,0.93,1.32,0.93,76.88360558,0
Kepler-1507 b,Kepler-1507,,0.84,0.85,0.84,0.85,110.4242261,0
Kepler-1508 b,Kepler-1508,0.138,0.98,0.92,0.98,0.92,102.4439879,16.12047414
Kepler-1511 b,Kepler-1511,0.1753,2.18,1.69,2.18,1.69,84.59699483,11.14760993
Kepler-1514 c,Kepler-1514,,1.32,1.37,1.32,1.37,113.2586448,0
Kepler-1525 b,Kepler-1525,0.0354,0.84,0.92,0.84,0.92,119.5179859,4.135252061
Kepler-1528 b,Kepler-1528,0.0296,1.29,1,1.29,1,84.59311441,3.181106897
Kepler-1531 b,Kepler-1531,,1.11,1.27,1.11,1.27,124.8548643,0
Kepler-1537 b,Kepler-1537,0.0245,2.03,1.45,2.03,1.45,77.94651257,1.815869501
Kepler-154 f,Kepler-154,,1.453,1.07,1.453,1.07,80.36054771,0
Kepler-1541 b,Kepler-1541,0.0781,1.95,1.53,1.95,1.53,85.62124611,5.485878127
Kepler-1542 d,Kepler-1542,,0.87,0.99,0.87,0.99,124.1768579,0
Kepler-1547 b,Kepler-1547,0.0165,2.24,2.3,2.24,2.3,112.0481118,0.770979198
Kepler-1553 b,Kepler-1553,0.0481,1.1,0.82,1.1,0.82,81.34781493,6.304022813
Kepler-1557 b,Kepler-1557,,1.376,1.06,1.376,1.06,84.06440745,0
Kepler-1558 b,Kepler-1558,,0.698,0.74,0.698,0.74,115.6913854,0
Kepler-1559 b,Kepler-1559,0.018,0.79,0.89,0.79,0.89,122.9384236,2.173547075
Kepler-1560 b,Kepler-1560,0.0397,0.91,0.99,0.91,0.99,118.7185345,4.309648642
